GUBERNATORIAL 2018 IN MICHIGAN
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Michigan,20181106,"36,628",HOUGHTON,"7,372","Schuette, Bill",Challenger,"6,539","Whitmer, Gretchen",Challenger,L,191,"Gelineau, Bill",Challenger,209,833,R,1.33,52.99,47.01,,,"Schleiger, Todd (U.S. Taxpayers) 49; Kurland, Jennifer V. (Green) 93; Butkovich, Keith (Natural Law) 67; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"33,118",HURON,"8,519","Schuette, Bill",Challenger,"4,828","Whitmer, Gretchen",Challenger,L,120,"Gelineau, Bill",Challenger,265,"3,691",R,.87,63.83,36.17,,,"Schleiger, Todd (U.S. Taxpayers) 125; Kurland, Jennifer V. (Green) 98; Butkovich, Keith (Natural Law) 42; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"280,895",INGHAM,"35,579","Schuette, Bill",Challenger,"80,292","Whitmer, Gretchen",Challenger,L,"1,648","Gelineau, Bill",Challenger,"1,711","44,713",D,1.38,30.71,69.29,,,"Schleiger, Todd (U.S. Taxpayers) 605; Kurland, Jennifer V. (Green) 871; Butkovich, Keith (Natural Law) 235; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"63,905",IONIA,"13,007","Schuette, Bill",Challenger,"9,929","Whitmer, Gretchen",Challenger,L,443,"Gelineau, Bill",Challenger,451,"3,078",R,1.86,56.71,43.29,,,"Schleiger, Todd (U.S. Taxpayers) 208; Kurland, Jennifer V. (Green) 165; Butkovich, Keith (Natural Law) 78; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"25,887",IOSCO,"6,534","Schuette, Bill",Challenger,"4,772","Whitmer, Gretchen",Challenger,L,140,"Gelineau, Bill",Challenger,244,"1,762",R,1.20,57.79,42.21,,,"Schleiger, Todd (U.S. Taxpayers) 99; Kurland, Jennifer V. (Green) 107; Butkovich, Keith (Natural Law) 38; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"11,817",IRON,"2,970","Schuette, Bill",Challenger,"2,269","Whitmer, Gretchen",Challenger,L,49,"Gelineau, Bill",Challenger,115,701,R,.91,56.69,43.31,,,"Schleiger, Todd (U.S. Taxpayers) 44; Kurland, Jennifer V. (Green) 49; Butkovich, Keith (Natural Law) 22; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"70,311",ISABELLA,"10,097","Schuette, Bill",Challenger,"11,656","Whitmer, Gretchen",Challenger,L,330,"Gelineau, Bill",Challenger,402,"1,559",D,1.47,46.42,53.58,,,"Schleiger, Todd (U.S. Taxpayers) 146; Kurland, Jennifer V. (Green) 177; Butkovich, Keith (Natural Law) 79; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"160,248",JACKSON,"32,021","Schuette, Bill",Challenger,"26,704","Whitmer, Gretchen",Challenger,L,"1,017","Gelineau, Bill",Challenger,"1,110","5,317",R,1.67,54.53,45.47,,,"Schleiger, Todd (U.S. Taxpayers) 473; Kurland, Jennifer V. (Green) 482; Butkovich, Keith (Natural Law) 155; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"250,331",KALAMAZOO,"44,183","Schuette, Bill",Challenger,"67,023","Whitmer, Gretchen",Challenger,L,"1,912","Gelineau, Bill",Challenger,"1,744","22,840",D,1.66,39.73,60.27,,,"Schleiger, Todd (U.S. Taxpayers) 596; Kurland, Jennifer V. (Green) 896; Butkovich, Keith (Natural Law) 249; Space, Evan (Write-in) 2; Herman, Lance (Write-in) 1; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"17,153",KALKASKA,"5,190","Schuette, Bill",Challenger,"2,782","Whitmer, Gretchen",Challenger,L,152,"Gelineau, Bill",Challenger,233,"2,408",R,1.82,65.10,34.90,,,"Schleiger, Todd (U.S. Taxpayers) 90; Kurland, Jennifer V. (Green) 85; Butkovich, Keith (Natural Law) 58; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"602,622",KENT,"129,988","Schuette, Bill",Challenger,"141,629","Whitmer, Gretchen",Challenger,L,"4,773","Gelineau, Bill",Challenger,"3,901","11,641",D,1.70,47.86,52.14,,,"Schleiger, Todd (U.S. Taxpayers) 1,357; Kurland, Jennifer V. (Green) 2,014; Butkovich, Keith (Natural Law) 527; Herman, Lance (Write-in) 2; Cobbs, William (Write-in) 1; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"2,156",KEWEENAW,707,"Schuette, Bill",Challenger,571,"Whitmer, Gretchen",Challenger,L,15,"Gelineau, Bill",Challenger,23,136,R,1.14,55.32,44.68,,,"Schleiger, Todd (U.S. Taxpayers) 9; Kurland, Jennifer V. (Green) 13; Butkovich, Keith (Natural Law) 1; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"11,539",LAKE,"2,602","Schuette, Bill",Challenger,"1,904","Whitmer, Gretchen",Challenger,L,68,"Gelineau, Bill",Challenger,126,698,R,1.45,57.75,42.25,,,"Schleiger, Todd (U.S. Taxpayers) 47; Kurland, Jennifer V. (Green) 52; Butkovich, Keith (Natural Law) 27; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"88,319",LAPEER,"23,209","Schuette, Bill",Challenger,"14,798","Whitmer, Gretchen",Challenger,L,571,"Gelineau, Bill",Challenger,794,"8,411",R,1.45,61.07,38.93,,,"Schleiger, Todd (U.S. Taxpayers) 374; Kurland, Jennifer V. (Green) 290; Butkovich, Keith (Natural Law) 130; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"21,708",LEELANAU,"6,630","Schuette, Bill",Challenger,"7,264","Whitmer, Gretchen",Challenger,L,165,"Gelineau, Bill",Challenger,143,634,D,1.16,47.72,52.28,,,"Schleiger, Todd (U.S. Taxpayers) 45; Kurland, Jennifer V. (Green) 79; Butkovich, Keith (Natural Law) 19; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
